condition,time,mean,sd,n,sem,ci
reward,1,-0.0087818009041836,0.08944667890612727,5,0.04000177087913942,0.07840347092311326
reward,201,-0.005418860727177744,0.11398432828557956,5,0.05097534128324159,0.09991166891515352
reward,401,0.02079022797698245,0.1356216399097529,5,0.06065184121164118,0.11887760877481672
reward,601,0.07461521318207481,0.15527105106420935,5,0.06943932502348263,0.13610107704602595
reward,801,0.14051247416577106,0.18617564299876146,5,0.08326027869999268,0.16319014625198566
reward,1001,0.23176628239278985,0.20097261416781395,5,0.08987768537901386,0.17616026334286716
reward,1201,0.32004393481423055,0.2016908208060926,5,0.0901988771520304,0.17678979921797958
reward,1401,0.3638797947313195,0.23188951532915134,5,0.10370414390909237,0.20326012206182104
reward,1601,0.38953942172712774,0.24793903987834015,5,0.11088170948879995,0.21732815059804791
reward,1801,0.38029014390590066,0.27201614661905926,5,0.12164931896355322,0.2384326651685643
reward,2001,0.4113860539967614,0.30618549417718427,5,0.13693031574091,0.2683834188521836
reward,2201,0.4614966563416873,0.29741537195866413,5,0.13300819785059154,0.2606960677871594
reward,2401,0.44521074698167273,0.3330528050882201,5,0.1489457424548496,0.2919336552115052
reward,2601,0.4445838477635521,0.32338647414973487,5,0.14462282784055713,0.283460742567492
reward,2801,0.44350569772504067,0.3324937747053821,5,0.1486957364673469,0.29144364347599994
reward,3001,0.442430438356775,0.35799321741735013,5,0.1600994339258113,0.31379489049459014
reward,3201,0.4304328711433524,0.3662304551108752,5,0.16378323861172045,0.3210151476789721
reward,3401,0.4105257199149544,0.3249606217235546,5,0.1453268080368926,0.2848405437523095
reward,3601,0.3929209408123127,0.40850109417965513,5,0.1826872430937505,0.358066996463751
reward,3801,0.3667884580489346,0.4211361628223549,5,0.18833781757084103,0.3691421224388484
reward,4001,0.3662466829898448,0.4383329346461882,5,0.1960284477291699,0.38421575754917303
reward,4201,0.39992824395714965,0.4050221833095658,5,0.18113142685511396,0.35501759663602334
reward,4401,0.4189169709755438,0.4035352585996897,5,0.18046645390937255,0.3537142496623702
reward,4601,0.3881328973965851,0.3934084333959703,5,0.1759375999990176,0.34483769599807446
reward,4801,0.37843659093815907,0.39736848385367857,5,0.17770858840257056,0.3483088332690383
reward,5001,0.3706206378456054,0.3973067361911449,5,0.17768097400839516,0.3482547090564545
reward,5201,0.39287360154954465,0.3856767083372596,5,0.17247986743609445,0.33806054017474513
reward,5401,0.36562936101274035,0.3880535823557444,5,0.17354283781195148,0.3401439621114249
